G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TM,OPP,HOME,WIN,GD,GT,WP,MP,WT
1,9,18,0.5,3,10,0.3,5,6,0.833,0,3,3,4,0,0,4,1,26,-9,100,129,1,0,Tue,10:30p ET,-29,34.1,1
2,8,19,0.421,4,10,0.4,3,4,0.75,1,0,1,8,1,0,4,3,23,4,122,114,0,1,Fri,9:30p ET,8,34.06666667,1
3,9,17,0.529,5,8,0.625,5,5,1,0,1,1,3,0,0,1,5,28,2,106,100,0,1,Sun,6:00p ET,6,34.21666667,1
4,10,21,0.476,5,10,0.5,3,4,0.75,1,3,4,3,1,0,4,3,28,24,127,104,0,1,Tue,10:00p ET,23,29.5,1
5,6,14,0.429,2,6,0.333,7,8,0.875,0,1,1,7,2,1,1,1,21,17,122,96,1,1,Thu,10:30p ET,26,30.05,1
6,5,17,0.294,0,10,0,3,3,1,0,8,8,10,2,1,2,3,13,-5,97,117,0,0,Fri,10:30p ET,-20,31.1,1
7,16,26,0.615,13,17,0.765,1,2,0.5,3,2,5,5,2,0,4,2,46,9,116,106,1,1,Mon,10:30p ET,10,35.65,1
8,8,12,0.667,4,8,0.5,4,4,1,0,3,3,6,1,0,5,1,24,16,116,95,1,1,Wed,10:30p ET,21,30.83333333,1
9,10,17,0.588,7,13,0.538,6,6,1,1,4,5,6,1,0,4,1,33,27,125,101,0,1,Thu,9:00p ET,24,29.93333333,1
10,9,17,0.529,5,9,0.556,7,7,1,0,6,6,6,2,0,3,2,30,22,133,120,1,1,Sun,8:00p ET,13,36.76666667,1
11,10,19,0.526,3,9,0.333,12,13,0.923,2,1,3,7,1,0,3,3,35,5,127,121,0,1,Wed,8:00p ET,6,37.36666667,0
12,7,20,0.35,2,10,0.2,0,0,,0,3,3,8,4,1,2,4,16,19,104,88,0,1,Fri,8:00p ET,16,36.3,0
13,7,21,0.333,1,11,0.091,5,5,1,0,5,5,5,1,0,3,4,20,1,124,121,0,1,Sat,8:30p ET,3,34.68333333,0
14,6,11,0.545,2,6,0.333,8,8,1,2,4,6,6,1,0,1,1,22,34,120,83,0,1,Mon,7:00p ET,37,29.5,0
15,11,18,0.611,7,12,0.583,2,2,1,0,5,5,9,1,0,1,1,31,32,149,106,1,1,Wed,10:30p ET,43,28.75,1
16,8,17,0.471,4,10,0.4,4,4,1,2,3,5,5,3,0,3,1,24,14,109,85,0,1,Fri,10:30p ET,24,35.6,1
17,13,19,0.684,4,8,0.5,4,4,1,1,7,8,6,1,0,6,4,34,16,115,102,1,1,Sat,10:30p ET,13,37.16666667,1
18,6,17,0.353,4,11,0.364,9,11,0.818,0,3,3,3,2,0,3,2,25,6,105,100,1,1,Mon,10:30p ET,5,38.23333333,0
19,9,22,0.409,4,13,0.308,6,6,1,1,2,3,5,3,1,5,6,28,10,127,132,1,0,Thu,10:30p ET,-5,38.38333333,1
20,10,15,0.667,5,7,0.714,6,6,1,0,2,2,1,1,0,3,2,31,15,138,109,1,1,Sat,10:30p ET,29,29.83333333,1
21,4,10,0.4,2,7,0.286,3,4,0.75,0,4,4,11,2,1,0,4,13,24,142,106,1,1,Mon,10:30p ET,36,29.15,0
22,7,16,0.438,0,8,0,5,5,1,0,4,4,6,7,0,3,3,19,18,115,98,0,1,Wed,10:30p ET,17,33.28333333,1
23,7,16,0.438,3,9,0.333,9,9,1,0,5,5,2,2,0,3,2,26,10,106,99,0,1,Thu,9:00p ET,7,35.56666667,1
24,4,14,0.286,3,11,0.273,6,6,1,2,6,8,3,0,0,4,3,17,-24,89,110,0,0,Sat,8:00p ET,-21,30.58333333,1
25,6,13,0.462,2,5,0.4,8,8,1,1,3,4,9,1,0,0,3,22,-6,116,108,0,1,Sun,7:00p ET,8,31.58333333,1
26,11,23,0.478,5,9,0.556,3,4,0.75,2,2,4,7,1,0,2,2,30,4,113,109,0,1,Tue,8:00p ET,4,34.11666667,1
27,3,14,0.214,2,8,0.25,0,0,,1,9,10,8,1,0,3,0,8,20,103,90,1,1,Thu,10:30p ET,13,33.81666667,0
28,6,11,0.545,5,8,0.625,2,2,1,0,3,3,6,0,0,3,3,19,21,135,90,1,1,Sat,10:30p ET,45,27.23333333,1
29,8,18,0.444,4,9,0.444,5,5,1,0,3,3,4,3,0,0,0,25,27,104,74,1,1,Tue,10:30p ET,30,30.21666667,1
30,6,19,0.316,3,13,0.231,0,0,,0,2,2,7,5,0,2,5,15,25,117,101,0,1,Thu,7:30p ET,16,32.96666667,0
31,7,16,0.438,5,10,0.5,6,6,1,0,3,3,8,2,0,5,1,25,6,119,113,0,1,Fri,7:30p ET,6,35,0
32,4,11,0.364,2,7,0.286,5,6,0.833,0,3,3,3,3,0,3,4,15,-1,108,109,0,0,Sun,2:30p ET,-1,37.33333333,0
34,5,12,0.417,3,6,0.5,1,1,1,0,4,4,5,1,0,1,2,14,14,108,99,1,1,Fri,10:30p ET,9,30.13333333,1
35,8,18,0.444,3,9,0.333,3,3,1,0,3,3,5,0,0,3,2,22,7,127,119,1,1,Mon,10:30p ET,8,35.05,1
36,12,25,0.48,5,13,0.385,6,8,0.75,1,6,7,5,1,0,5,1,35,6,125,117,1,1,Wed,10:30p ET,8,35.9,1
37,15,27,0.556,5,13,0.385,5,5,1,0,3,3,6,1,1,4,2,40,-10,119,128,1,0,Fri,10:30p ET,-9,42.21666667,1
38,11,22,0.5,5,11,0.455,3,3,1,2,2,4,6,2,0,4,3,30,14,117,106,0,1,Sun,9:00p ET,11,37.1,1
39,8,21,0.381,4,11,0.364,4,5,0.8,1,7,8,9,1,1,3,0,24,18,107,95,1,1,Tue,10:30p ET,12,35.71666667,0
40,9,17,0.529,3,9,0.333,3,3,1,0,2,2,7,5,0,8,0,24,32,127,107,1,1,Thu,10:30p ET,20,29.85,0
41,7,20,0.35,5,12,0.417,1,2,0.5,0,2,2,11,4,0,3,2,20,23,126,91,1,1,Mon,8:00p ET,35,30.91666667,0
42,9,19,0.474,2,6,0.333,4,4,1,0,4,4,8,3,0,3,0,24,19,121,100,1,1,Wed,10:30p ET,21,34.18333333,1
43,8,18,0.444,5,11,0.455,3,5,0.6,0,1,1,7,1,0,1,1,24,15,125,108,0,1,Fri,8:00p ET,17,32.95,1
44,8,15,0.533,7,13,0.538,4,4,1,1,3,4,6,0,0,3,2,27,32,118,98,0,1,Sun,12:00p ET,20,29.55,0
45,7,19,0.368,3,9,0.333,4,5,0.8,0,9,9,8,0,1,4,2,21,1,102,105,0,0,Mon,7:30p ET,-3,36.51666667,0
46,11,23,0.478,6,12,0.5,0,0,,0,2,2,7,1,1,4,2,28,0,113,103,0,1,Wed,8:00p ET,10,36.26666667,0
47,15,23,0.652,9,15,0.6,4,4,1,0,9,9,6,0,0,2,1,43,42,144,98,1,1,Sat,8:30p ET,46,28.95,1
49,14,20,0.7,11,15,0.733,0,0,,1,4,5,8,3,0,1,2,39,25,126,111,1,1,Wed,10:30p ET,15,30.26666667,0
50,11,23,0.478,3,10,0.3,4,4,1,1,2,3,11,3,0,4,1,29,13,133,120,0,1,Thu,10:30p ET,13,37.43333333,1
51,11,20,0.55,8,14,0.571,5,6,0.833,0,4,4,9,3,0,3,2,35,4,106,109,0,0,Sat,10:30p ET,-3,41.75,1
52,5,11,0.455,1,4,0.25,2,2,1,0,1,1,6,1,0,2,4,13,20,123,92,1,1,Wed,10:30p ET,31,28.2,0
53,6,13,0.462,2,6,0.333,4,5,0.8,0,4,4,5,0,0,3,3,18,15,122,107,0,1,Fri,8:00p ET,15,34.85,1
54,9,19,0.474,4,11,0.364,4,4,1,3,5,8,9,2,0,0,2,26,16,130,114,0,1,Sat,8:30p ET,16,33.9,1
55,4,18,0.222,1,11,0.091,2,2,1,1,1,2,5,1,0,1,1,11,-24,110,132,0,0,Mon,9:00p ET,-22,26.7,1
56,4,14,0.286,2,8,0.25,3,4,0.75,0,6,6,9,0,2,3,2,13,23,109,86,1,1,Wed,10:30p ET,23,30.05,1
57,10,16,0.625,6,10,0.6,9,10,0.9,1,6,7,5,4,0,4,5,35,26,123,113,1,1,Thu,10:30p ET,10,32.18333333,1
58,9,21,0.429,5,10,0.5,4,4,1,1,4,5,5,3,0,4,2,27,17,112,95,1,1,Sat,10:30p ET,17,34.91666667,0
59,7,23,0.304,0,11,0,5,5,1,2,2,4,6,2,0,4,2,19,8,119,108,0,1,Mon,7:00p ET,11,34.8,0
60,9,20,0.45,2,9,0.222,5,6,0.833,4,3,7,4,2,0,5,3,25,-5,108,112,0,0,Tue,7:00p ET,-4,34.23333333,0
61,10,27,0.37,2,11,0.182,1,1,1,1,5,6,5,5,0,4,4,23,-4,87,94,0,0,Thu,8:00p ET,-7,35.46666667,0
62,11,24,0.458,5,13,0.385,4,6,0.667,2,6,8,6,2,0,2,2,31,22,112,105,0,1,Sun,3:30p ET,7,36.85,0
63,8,20,0.4,6,15,0.4,2,3,0.667,1,3,4,9,0,0,2,4,24,5,119,111,0,1,Mon,7:30p ET,8,34.51666667,0
64,8,16,0.5,2,9,0.222,5,5,1,3,2,5,6,0,1,4,4,23,-3,86,99,1,0,Wed,10:30p ET,-13,35.13333333,0
65,10,27,0.37,1,8,0.125,5,5,1,3,3,6,7,1,0,6,4,26,-5,102,103,0,0,Fri,8:00p ET,-1,35.3,1
67,8,23,0.348,5,13,0.385,8,8,1,2,4,6,5,3,0,5,3,29,3,106,104,1,1,Tue,10:30p ET,2,37.41666667,0
68,8,15,0.533,2,7,0.286,7,7,1,0,1,1,9,3,0,2,1,25,24,122,92,1,1,Thu,10:30p ET,30,28.11666667,0
69,9,13,0.692,6,8,0.75,4,4,1,0,4,4,4,1,1,3,3,28,18,117,92,1,1,Sat,10:30p ET,25,30.28333333,0
70,8,17,0.471,7,12,0.583,0,0,,0,4,4,6,0,0,5,3,23,16,111,95,0,1,Mon,8:00p ET,16,29.88333333,1
71,7,14,0.5,3,9,0.333,0,0,,1,4,5,9,2,0,0,1,17,14,112,87,0,1,Tue,8:30p ET,25,29.75,1
72,9,18,0.5,5,11,0.455,4,4,1,1,6,7,12,6,0,3,0,27,28,114,100,1,1,Fri,10:30p ET,14,33.23333333,1
73,8,18,0.444,5,12,0.417,0,0,,0,1,1,11,4,0,5,1,21,8,106,94,1,1,Sun,8:00p ET,12,36.31666667,1
74,11,22,0.5,3,11,0.273,7,10,0.7,2,8,10,7,2,0,6,5,32,9,113,106,0,1,Tue,8:00p ET,7,33.41666667,1
75,9,20,0.45,4,8,0.5,7,7,1,1,3,4,11,1,0,2,5,29,6,110,98,0,1,Wed,9:30p ET,12,35.13333333,1
76,8,18,0.444,4,9,0.444,4,5,0.8,3,4,7,5,2,0,2,4,24,14,107,98,1,1,Fri,10:30p ET,9,34.76666667,1
77,15,22,0.682,9,14,0.643,3,3,1,0,1,1,8,1,0,1,3,42,26,139,115,1,1,Sun,8:00p ET,24,35.55,0
78,7,18,0.389,3,8,0.375,2,4,0.5,0,3,3,9,3,2,3,2,19,13,121,107,1,1,Tue,10:30p ET,14,29.88333333,1
79,15,25,0.6,8,12,0.667,4,7,0.571,0,4,4,11,2,2,3,0,42,25,120,111,0,1,Wed,10:00p ET,9,35.18333333,1
81,9,16,0.563,6,8,0.75,4,5,0.8,1,3,4,4,1,0,1,1,28,9,99,105,1,0,Mon,10:30p ET,-6,29.95,1
82,6,17,0.353,5,14,0.357,3,4,0.75,0,5,5,8,2,0,6,1,20,27,109,94,1,1,Wed,10:30p ET,15,28.45,1
